State_Size,Max_Words,Max_Overlap_Ratio,Cosine_Similarity_Threshold,Cosine_Similarity,Average_Perplexity,Inf_Perplexity_Count
2,15,0.5,0.5,TRUE,106.116201,0
2,15,0.5,0.5,FALSE,106.7773982,0
2,15,0.5,0.7,TRUE,108.0174414,0
2,15,0.5,0.7,FALSE,110.734789,1
2,15,0.7,0.5,TRUE,107.1507823,0
2,15,0.7,0.5,FALSE,109.4238016,0
2,15,0.7,0.7,TRUE,107.6598098,0
2,15,0.7,0.7,FALSE,108.383099,2
2,15,0.9,0.5,TRUE,112.7028699,1
2,15,0.9,0.5,FALSE,115.6198557,1
2,15,0.9,0.7,TRUE,110.6957857,0
2,15,0.9,0.7,FALSE,107.0900186,0
2,18,0.5,0.5,TRUE,108.9774354,0
2,18,0.5,0.5,FALSE,105.6146303,1
2,18,0.5,0.7,TRUE,107.218349,0
2,18,0.5,0.7,FALSE,106.3988422,2
2,18,0.7,0.5,TRUE,104.1460681,0
2,18,0.7,0.5,FALSE,107.7895733,0
2,18,0.7,0.7,TRUE,105.6065134,0
2,18,0.7,0.7,FALSE,110.0464006,1
2,18,0.9,0.5,TRUE,109.0645878,2
2,18,0.9,0.5,FALSE,110.0509992,1
2,18,0.9,0.7,TRUE,107.085489,0
2,18,0.9,0.7,FALSE,109.295513,0
3,15,0.5,0.5,TRUE,90.33972369,0
3,15,0.5,0.5,FALSE,88.27892764,0
3,15,0.5,0.7,TRUE,89.79397423,0
3,15,0.5,0.7,FALSE,90.10322329,0
3,15,0.7,0.5,TRUE,95.14426255,0
3,15,0.7,0.5,FALSE,98.03601719,0
3,15,0.7,0.7,TRUE,94.26506845,0
3,15,0.7,0.7,FALSE,95.09769594,0
3,15,0.9,0.5,TRUE,95.00303435,0
3,15,0.9,0.5,FALSE,95.55909615,0
3,15,0.9,0.7,TRUE,96.81373775,0
3,15,0.9,0.7,FALSE,99.06857992,0
3,18,0.5,0.5,TRUE,91.90259711,0
3,18,0.5,0.5,FALSE,92.92044825,0
3,18,0.5,0.7,TRUE,93.94056304,0
3,18,0.5,0.7,FALSE,94.56018165,0
3,18,0.7,0.5,TRUE,97.52743273,0
3,18,0.7,0.5,FALSE,97.70253692,0
3,18,0.7,0.7,TRUE,98.76699918,0
3,18,0.7,0.7,FALSE,100.2102307,1
3,18,0.9,0.5,TRUE,102.0016774,0
3,18,0.9,0.5,FALSE,95.79373456,0
3,18,0.9,0.7,TRUE,101.8871406,1
3,18,0.9,0.7,FALSE,100.7400116,0
